"date","value"
"1998-01-05","100"
"1998-01-06","100"
"1998-01-07","100"
"1998-01-08","100"
"1998-01-09","100"
"1998-01-12","100.25"
"1998-01-13","100.29"
"1998-01-14","100.37"
"1998-01-15","100.41"
"1998-01-16","100.47"
"1998-01-19","100.82"
"1998-01-20","100.47"
"1998-01-21","100.47"
"1998-01-22","99.86"
"1998-01-23","99.9"
"1998-01-26","99.95"
"1998-01-27","99.48"
"1998-01-28","100.47"
"1998-01-29","101.57"
"1998-01-30","101.66"
"1998-02-02","102.64"
"1998-02-03","103.75"
"1998-02-04","102.26"
"1998-02-05","101.18"
"1998-02-06","102.9"
"1998-02-09","106.16"
"1998-02-10","112.24"
"1998-02-11","110.49"
"1998-02-12","108.42"
"1998-02-13","106.35"
"1998-02-16","105.85"
"1998-02-17","105.22"
"1998-02-18","106.31"
"1998-02-19","107.25"
"1998-02-20","107.6"
"1998-02-23","108.4"
"1998-02-24","108.95"
"1998-02-25","108.5"
"1998-02-26","111.63"
"1998-02-27","112.26"
"1998-03-02","111.7"
"1998-03-03","111.91"
"1998-03-04","110.64"
"1998-03-05","108.52"
"1998-03-06","108.14"
"1998-03-09","109.18"
"1998-03-10","110.03"
"1998-03-11","110.35"
"1998-03-12","109.63"
"1998-03-13","110.02"
"1998-03-16","109.83"
"1998-03-17","111.02"
"1998-03-18","110.32"
"1998-03-19","110.38"
"1998-03-20","110.17"
"1998-03-23","110.21"
"1998-03-24","110.51"
"1998-03-25","110.42"
"1998-03-26","110.15"
"1998-03-27","108.94"
"1998-03-30","107.86"
"1998-03-31","106.13"
"1998-04-01","105.95"
"1998-04-02","105.6"
"1998-04-06","100.02"
"1998-04-07","103.73"
"1998-04-08","103.33"
"1998-04-09","102.55"
"1998-04-14","103.19"
"1998-04-15","103.73"
"1998-04-16","103.17"
"1998-04-17","101.19"
"1998-04-20","101.75"
"1998-04-21","101.15"
"1998-04-22","101.18"
"1998-04-23","101.78"
"1998-04-24","102.32"
"1998-04-27","102.93"
"1998-05-18","99.53"
"1998-05-19","98.68"
"1998-05-20","98.18"
"1998-05-21","99.6"
"1998-05-22","100.49"
"1998-05-25","100.3"
"1998-05-26","100.11"
"1998-05-27","97.46"
"1998-05-28","95.83"
"1998-05-29","95.52"
"1998-06-01","92.68"
"1998-06-02","90.56"
"1998-06-03","91.13"
"1998-06-04","91.38"
"1998-06-05","91.14"
"1998-06-08","91.59"
"1998-06-09","90.23"
"1998-06-10","85.88"
"1998-06-15","84.21"
"1998-06-16","83.98"
"1998-06-17","86.92"
"1998-06-18","88.67"
"1998-06-19","87.6"
"1998-06-22","87.65"
"1998-06-23","87.66"
"1998-06-24","87.24"
"1998-06-25","87.09"
"1998-06-26","87.59"
"1998-06-29","87.21"
"1998-06-30","87.33"
"1998-07-01","88.08"
"1998-07-02","88.75"
"1998-07-03","89.5"
"1998-07-06","90.4"
